年月,基準金利,利率（税引前）,利率（税引後）
2010/06,0.22,0.19,0.152
2010/07,0.17,0.14,0.112
2010/08,0.18,0.15,0.12
2010/09,0.14,0.11,0.088
2010/10,0.15,0.12,0.096
2010/11,0.16,0.13,0.104
2010/12,0.24,0.21,0.168
2011/01,0.25,0.22,0.176
2011/02,0.3,0.27,0.216
2011/03,0.35,0.32,0.256
2011/04,0.29,0.26,0.208
2011/05,0.27,0.24,0.192
2011/06,0.23,0.2,0.16
2011/07,0.24,0.21,0.168
2011/08,0.21,0.18,0.144
2011/09,0.2,0.17,0.136
2011/10,0.2,0.17,0.136
2011/11,0.21,0.18,0.144
2011/12,0.21,0.18,0.144
2012/01,0.2,0.17,0.136
2012/02,0.21,0.18,0.144
2012/03,0.15,0.12,0.096
2012/04,0.17,0.14,0.112
2012/05,0.13,0.1,0.08
2012/06,0.1,0.07,0.0557795
2012/07,0.1,0.07,0.0557795
2012/08,0.1,0.07,0.0557795
2012/09,0.1,0.07,0.0557795
2012/10,0.1,0.07,0.0557795
2012/11,0.1,0.07,0.0557795
2012/12,0.1,0.07,0.0557795
2013/01,0.1,0.07,0.0557795
2013/02,0.07,0.05,0.0398425
2013/03,0.04,0.05,0.0398425
2013/04,0.08,0.05,0.0398425
2013/05,0.15,0.12,0.095622
2013/06,0.17,0.14,0.111559
2013/07,0.17,0.14,0.111559
2013/08,0.15,0.12,0.095622
2013/09,0.14,0.11,0.0876535
2013/10,0.13,0.1,0.079685
2013/11,0.13,0.1,0.079685
2013/12,0.11,0.08,0.063748
2014/01,0.12,0.09,0.0717165
2014/02,0.11,0.08,0.063748
2014/03,0.1,0.07,0.0557795
2014/04,0.11,0.08,0.063748
2014/05,0.11,0.08,0.063748
2014/06,0.1,0.07,0.0557795
2014/07,0.09,0.06,0.047811
2014/08,0.09,0.06,0.047811
2014/09,0.09,0.06,0.047811
2014/10,0.08,0.05,0.0398425
2014/11,0.04,0.05,0.0398425
2014/12,0.01,0.05,0.0398425
2015/01,-0.02,0.05,0.0398425
2015/02,0.04,0.05,0.0398425
2015/03,0.02,0.05,0.0398425
2015/04,0.03,0.05,0.0398425
2015/05,0.02,0.05,0.0398425
2015/06,-0.01,0.05,0.0398425
2015/07,0.03,0.05,0.0398425
2015/08,0.01,0.05,0.0398425
2015/09,0.01,0.05,0.0398425
2015/10,0.01,0.05,0.0398425
2015/11,0.01,0.05,0.0398425
2015/12,0.0,0.05,0.0398425
2016/01,-0.01,0.05,0.0398425
2016/02,-0.14,0.05,0.0398425
2016/03,-0.25,0.05,0.0398425
2016/04,-0.24,0.05,0.0398425
2016/05,-0.25,0.05,0.0398425
2016/06,-0.24,0.05,0.0398425
2016/07,-0.33,0.05,0.0398425
2016/08,-0.17,0.05,0.0398425
2016/09,-0.18,0.05,0.0398425
2016/10,-0.27,0.05,0.0398425
2016/11,-0.24,0.05,0.0398425
2016/12,-0.15,0.05,0.0398425
2017/01,-0.16,0.05,0.0398425
2017/02,-0.16,0.05,0.0398425
2017/03,-0.19,0.05,0.0398425
2017/04,-0.16,0.05,0.0398425
2017/05,-0.17,0.05,0.0398425
2017/06,-0.14,0.05,0.0398425
2017/07,-0.1,0.05,0.0398425
2017/08,-0.08,0.05,0.0398425
2017/09,-0.15,0.05,0.0398425
2017/10,-0.1,0.05,0.0398425
2017/11,-0.13,0.05,0.0398425
2017/12,-0.11,0.05,0.0398425
2018/01,-0.09,0.05,0.0398425
2018/02,-0.09,0.05,0.0398425
2018/03,-0.14,0.05,0.0398425
2018/04,-0.13,0.05,0.0398425
2018/05,-0.12,0.05,0.0398425
2018/06,-0.12,0.05,0.0398425
2018/07,-0.13,0.05,0.0398425
2018/08,-0.09,0.05,0.0398425
2018/09,-0.1,0.05,0.0398425
2018/10,-0.1,0.05,0.0398425
2018/11,-0.12,0.05,0.0398425
2018/12,-0.13,0.05,0.0398425
2019/01,-0.16,0.05,0.0398425
2019/02,-0.17,0.05,0.0398425
2019/03,-0.15,0.05,0.0398425
2019/04,-0.17,0.05,0.0398425
2019/05,-0.17,0.05,0.0398425
2019/06,-0.21,0.05,0.0398425
2019/07,-0.22,0.05,0.0398425
2019/08,-0.21,0.05,0.0398425
2019/09,-0.33,0.05,0.0398425
2019/10,-0.31,0.05,0.0398425
2019/11,-0.2,0.05,0.0398425
2019/12,-0.18,0.05,0.0398425
2020/01,-0.13,0.05,0.0398425
2020/02,-0.18,0.05,0.0398425
2020/03,-0.26,0.05,0.0398425
2020/04,-0.16,0.05,0.0398425
2020/05,-0.17,0.05,0.0398425
2020/06,-0.18,0.05,0.0398425
2020/07,-0.14,0.05,0.0398425
2020/08,-0.15,0.05,0.0398425
2020/09,-0.11,0.05,0.0398425
2020/10,-0.13,0.05,0.0398425
2020/11,-0.13,0.05,0.0398425
2020/12,-0.16,0.05,0.0398425
2021/01,-0.13,0.05,0.0398425
2021/02,-0.13,0.05,0.0398425
2021/03,-0.12,0.05,0.0398425
2021/04,-0.13,0.05,0.0398425
2021/05,-0.14,0.05,0.0398425
2021/06,-0.13,0.05,0.0398425
2021/07,-0.14,0.05,0.0398425
2021/08,-0.14,0.05,0.0398425
2021/09,-0.12,0.05,0.0398425
2021/10,-0.12,0.05,0.0398425
2021/11,-0.1,0.05,0.0398425
2021/12,-0.12,0.05,0.0398425
2022/01,-0.09,0.05,0.0398425
2022/02,-0.04,0.05,0.0398425
2022/03,-0.02,0.05,0.0398425
2022/04,-0.04,0.05,0.0398425
2022/05,-0.04,0.05,0.0398425
2022/07,-0.07,0.05,0.0398425
2022/09,-0.08,0.05,0.0398425
2022/10,-0.05,0.05,0.0398425
2022/11,-0.04,0.05,0.0398425
2022/12,-0.01,0.05,0.0398425
2023/01,0.04,0.05,0.0398425
2023/02,0.01,0.05,0.0398425
2023/03,0.0,0.05,0.0398425
2023/04,-0.01,0.05,0.0398425
2023/05,-0.03,0.05,0.0398425
2023/06,-0.06,0.05,0.0398425
2023/07,-0.07,0.05,0.0398425
2023/08,0.02,0.05,0.0398425
2023/09,0.06,0.05,0.0398425
2023/10,0.12,0.09,0.0717165
2023/11,0.22,0.19,0.1514015
2023/12,0.06,0.05,0.0398425
2024/01,0.04,0.05,0.0398425
2024/02,0.08,0.05,0.0398425
2024/03,0.19,0.16,0.127496
2024/04,0.21,0.18,0.143433
