年月,基準金利,利率（税引前）,利率（税引後）
2024/05,0.32,0.29,0.2310865
2024/06,0.43,0.4,0.31874
2024/07,0.41,0.38,0.302803
2024/08,0.31,0.28,0.223118
2024/09,0.41,0.38,0.302803
2024/10,0.37,0.34,0.270929
2024/11,0.52,0.49,0.3904565
2024/12,0.63,0.6,0.47811
2025/01,0.65,0.62,0.494047
2025/02,0.77,0.74,0.589669
2025/03,0.9,0.87,0.6932595
2025/04,0.81,0.78,0.621543
2025/05,0.69,0.66,0.525921
2025/06,0.82,0.79,0.6295115
2025/07,0.79,0.76,0.605606
2025/08,0.82,0.79,0.6295115
2025/09,0.96,0.93,0.7410705
2025/10,1.04,1.01,0.8048185
2025/11,1.02,0.99,0.7888815
2025/12,1.13,1.1,0.876535
2026/01,1.33,1.3,1.035905
2026/02,1.42,1.39,1.1076215
2026/03,1.37,1.34,1.067779
2026/04,1.54,1.51,1.2032435
2026/05,1.6,1.57,1.2510545
2026/06,1.54,1.51,1.2032435
2026/07,1.59,1.56,1.243086
2026/08,1.74,1.71,1.3626135
