年月,基準金利,利率（税引前）,利率（税引後）
2005/12,0.85,0.8,0.64
2006/03,1.06,1.01,0.808
2006/06,1.35,1.3,1.04
2006/09,1.18,1.13,0.904
2006/12,1.25,1.2,0.96
2007/03,1.18,1.13,0.904
2007/06,1.55,1.5,1.2
2007/09,1.2,1.15,0.92
2007/12,0.99,0.94,0.752
2008/03,0.86,0.81,0.648
2008/06,1.27,1.22,0.976
2008/09,1.04,0.99,0.792
2008/12,0.85,0.8,0.64
2009/03,0.76,0.71,0.568
2009/06,0.87,0.82,0.656
2009/09,0.65,0.6,0.48
2009/12,0.49,0.44,0.352
2010/03,0.53,0.48,0.384
2010/06,0.47,0.42,0.336
2010/09,0.28,0.23,0.184
2010/12,0.42,0.37,0.296
2011/03,0.57,0.52,0.416
2011/06,0.46,0.41,0.328
2011/09,0.37,0.32,0.256
2011/12,0.38,0.33,0.264
2012/03,0.32,0.27,0.216
2012/06,0.24,0.19,0.1514015
2012/09,0.22,0.17,0.1354645
2012/12,0.18,0.13,0.1035905
2013/03,0.11,0.06,0.047811
2013/06,0.35,0.3,0.239055
2013/09,0.29,0.24,0.191244
2013/12,0.2,0.15,0.1195275
2014/01,0.22,0.17,0.1354645
2014/02,0.2,0.15,0.1195275
2014/03,0.19,0.14,0.111559
2014/04,0.2,0.15,0.1195275
2014/05,0.19,0.14,0.111559
2014/06,0.19,0.14,0.111559
2014/07,0.17,0.12,0.095622
2014/08,0.15,0.1,0.079685
2014/09,0.17,0.12,0.095622
2014/10,0.16,0.11,0.0876535
2014/11,0.13,0.08,0.063748
2014/12,0.1,0.05,0.0398425
2015/01,0.01,0.05,0.0398425
2015/02,0.1,0.05,0.0398425
2015/03,0.1,0.05,0.0398425
2015/04,0.1,0.05,0.0398425
2015/05,0.13,0.08,0.063748
2015/06,0.1,0.05,0.0398425
2015/07,0.14,0.09,0.0717165
2015/08,0.09,0.05,0.0398425
2015/09,0.07,0.05,0.0398425
2015/10,0.05,0.05,0.0398425
2015/11,0.04,0.05,0.0398425
2015/12,0.04,0.05,0.0398425
2016/01,0.03,0.05,0.0398425
2016/02,-0.11,0.05,0.0398425
2016/03,-0.22,0.05,0.0398425
2016/04,-0.21,0.05,0.0398425
2016/05,-0.24,0.05,0.0398425
2016/06,-0.23,0.05,0.0398425
2016/07,-0.35,0.05,0.0398425
2016/08,-0.15,0.05,0.0398425
2016/09,-0.17,0.05,0.0398425
2016/10,-0.23,0.05,0.0398425
2016/11,-0.2,0.05,0.0398425
2016/12,-0.1,0.05,0.0398425
2017/01,-0.12,0.05,0.0398425
2017/02,-0.1,0.05,0.0398425
2017/03,-0.14,0.05,0.0398425
2017/04,-0.12,0.05,0.0398425
2017/05,-0.13,0.05,0.0398425
2017/06,-0.11,0.05,0.0398425
2017/07,-0.06,0.05,0.0398425
2017/08,-0.06,0.05,0.0398425
2017/09,-0.12,0.05,0.0398425
2017/10,-0.07,0.05,0.0398425
2017/11,-0.1,0.05,0.0398425
2017/12,-0.1,0.05,0.0398425
2018/01,-0.07,0.05,0.0398425
2018/02,-0.07,0.05,0.0398425
2018/03,-0.11,0.05,0.0398425
2018/04,-0.12,0.05,0.0398425
2018/05,-0.11,0.05,0.0398425
2018/06,-0.1,0.05,0.0398425
2018/07,-0.12,0.05,0.0398425
2018/08,-0.06,0.05,0.0398425
2018/09,-0.07,0.05,0.0398425
2018/10,-0.06,0.05,0.0398425
2018/11,-0.07,0.05,0.0398425
2018/12,-0.11,0.05,0.0398425
2019/01,-0.14,0.05,0.0398425
2019/02,-0.16,0.05,0.0398425
2019/03,-0.14,0.05,0.0398425
2019/04,-0.18,0.05,0.0398425
2019/05,-0.17,0.05,0.0398425
2019/06,-0.21,0.05,0.0398425
2019/07,-0.24,0.05,0.0398425
2019/08,-0.23,0.05,0.0398425
2019/09,-0.35,0.05,0.0398425
2019/10,-0.3,0.05,0.0398425
2019/11,-0.22,0.05,0.0398425
2019/12,-0.13,0.05,0.0398425
2020/01,-0.11,0.05,0.0398425
2020/02,-0.16,0.05,0.0398425
2020/03,-0.24,0.05,0.0398425
2020/04,-0.12,0.05,0.0398425
2020/05,-0.12,0.05,0.0398425
2020/06,-0.13,0.05,0.0398425
2020/07,-0.08,0.05,0.0398425
