年月,基準金利,利率（税引前）,利率（税引後）
2020/08,-0.11,0.05,0.0398425
2020/09,-0.07,0.05,0.0398425
2020/10,-0.1,0.05,0.0398425
2020/11,-0.1,0.05,0.0398425
2020/12,-0.1,0.05,0.0398425
2021/01,-0.1,0.05,0.0398425
2021/02,-0.1,0.05,0.0398425
2021/03,-0.07,0.05,0.0398425
2021/04,-0.06,0.05,0.0398425
2021/05,-0.09,0.05,0.0398425
2021/06,-0.09,0.05,0.0398425
2021/07,-0.1,0.05,0.0398425
2021/08,-0.13,0.05,0.0398425
2021/09,-0.11,0.05,0.0398425
2021/10,-0.09,0.05,0.0398425
2021/11,-0.07,0.05,0.0398425
2021/12,-0.09,0.05,0.0398425
2022/01,-0.06,0.05,0.0398425
2022/02,0.0,0.05,0.0398425
2022/03,0.01,0.05,0.0398425
2022/04,0.03,0.05,0.0398425
2022/05,0.02,0.05,0.0398425
2022/06,0.01,0.05,0.0398425
2022/07,0.03,0.05,0.0398425
2022/08,-0.02,0.05,0.0398425
2022/09,0.03,0.05,0.0398425
2022/10,0.07,0.05,0.0398425
2022/11,0.09,0.05,0.0398425
2022/12,0.12,0.07,0.0557795
2023/01,0.23,0.18,0.143433
2023/02,0.2,0.15,0.1195275
2023/03,0.23,0.18,0.143433
2023/04,0.19,0.14,0.111559
2023/05,0.14,0.09,0.0717165
2023/06,0.11,0.06,0.047811
2023/07,0.1,0.05,0.0398425
2023/08,0.19,0.14,0.111559
2023/09,0.26,0.21,0.1673385
2023/10,0.38,0.33,0.2629605
2023/11,0.47,0.42,0.334677
2023/12,0.3,0.25,0.1992125
2024/01,0.23,0.18,0.143433
2024/02,0.3,0.25,0.1992125
2024/03,0.38,0.33,0.2629605
2024/04,0.41,0.36,0.286866
2024/05,0.5,0.45,0.3585825
2024/06,0.64,0.59,0.4701415
2024/07,0.66,0.61,0.4860785
2024/08,0.44,0.39,0.3107715
2024/09,0.56,0.51,0.4063935
2024/10,0.51,0.46,0.366551
2024/11,0.65,0.6,0.47811
2024/12,0.76,0.71,0.5657635
2025/01,0.82,0.77,0.6135745
2025/02,0.94,0.89,0.7091965
2025/03,1.08,1.03,0.8207555
2025/04,1.0,0.95,0.7570075
2025/05,0.88,0.83,0.6613855
2025/06,1.05,1.0,0.79685
2025/07,1.01,0.96,0.764976
2025/08,1.02,0.97,0.7729445
2025/09,1.17,1.12,0.892472
2025/10,1.27,1.22,0.972157
2025/11,1.24,1.19,0.9482515
2025/12,1.4,1.35,1.0757475
2026/01,1.64,1.59,1.2669915
2026/02,1.71,1.66,1.322771
2026/03,1.63,1.58,1.259023
2026/04,1.84,1.79,1.4263615
2026/05,1.94,1.89,1.5060465
2026/06,1.91,1.86,1.482141
2026/07,2.0,1.95,1.5538575
2026/08,2.11,2.06,1.641511
